pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025/9/24,87.7,1.8,6.55,"Snell, Blake",682998,605483,,ball,,,,,13,Corbin Carroll singles on a ground ball to pitcher Blake Snell.,R,L,L,AZ,LAD,B,,,0,0,2025,-0.2,0.72,-0.88,1.87,,,,0,6,Bot,,,,,,,-6.122121035,-127.4701698,-6.758441219,-0.976287676,25.629195466150296,-23.12260858,3.22,1.54,,,,88.6,2348,6.9,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.61,,,,,,,,46,1,Slider,1,3,1,3,3,1,1,3,Standard,Standard,175,0,0.042,,,,-0.042,,-2,-2,0.248,0.248,32,24,33,25,3,2,,,,,2.24,-0.2,-0.2,,,,,,
SL,2025/9/24,87.3,1.82,6.53,"Snell, Blake",672695,605483,strikeout,swinging_strike_blocked,,,,,13,"Geraldo Perdomo strikes out swinging, catcher Ben Rortvedt to first baseman Freddie Freeman.",R,R,L,AZ,LAD,S,2,,1,2,2025,-0.13,0.35,-0.9,0.17,,,,2,5,Bot,,,,,,,-6.335738563,-126.6355414,-9.895972593,-0.092290038,26.562556946322815,-26.5143868,3.55,1.69,,,,88,2210,7,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.52,,0,0,1,0,0,,42,4,Slider,1,3,1,3,3,1,1,3,Standard,Standard,170,-0.014,-0.183,66.4,8.3,,0.183,,-2,-2,0.225,0.225,32,25,33,26,3,2,,,,,2.67,-0.13,0.13,,23.862239473284784,-25.36414222,50.50856264624995,24.289633249089178,40.17547885413154
SL,2025/9/24,88.3,1.82,6.52,"Snell, Blake",672695,605483,,foul,,,,,14,"Geraldo Perdomo strikes out swinging, catcher Ben Rortvedt to first baseman Freddie Freeman.",R,R,L,AZ,LAD,S,,,1,1,2025,-0.28,0.88,0.1,1.06,,,,2,5,Bot,,,,,,,-3.655391723,-128.357822,-9.178516123,-2.35791055,24.98653312093094,-20.80144049,3.55,1.69,2,93.2,-35,89.5,2331,7,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.53,,,,,,,,42,3,Slider,1,3,1,3,3,1,1,3,Standard,Standard,166,0,-0.062,75.9,8,,0.062,93.2,-2,-2,0.225,0.225,32,25,33,26,3,2,,,,,2.04,-0.28,0.28,,7.730583353873053,-11.92087633,38.89398922531337,36.04190862502021,35.623765069428174
FF,2025/9/24,94.2,1.8,6.54,"Snell, Blake",672695,605483,,ball,,,,,13,"Geraldo Perdomo strikes out swinging, catcher Ben Rortvedt to first baseman Freddie Freeman.",R,R,L,AZ,LAD,B,,,0,1,2025,0.15,1.43,-0.95,2.53,,,,2,5,Bot,,,,,,,-7.553676083,-136.8048093,-7.971656873,3.5167476762433263,30.489264335541375,-12.59822665,3.55,1.69,,,,95.1,2430,7,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.53,,,,,,,,42,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,162,0,0.028,,,,-0.028,,-2,-2,0.225,0.225,32,25,33,26,3,2,,,,,1.15,0.15,-0.15,,,,,,
FF,2025/9/24,94.2,1.84,6.51,"Snell, Blake",672695,605483,,called_strike,,,,,7,"Geraldo Perdomo strikes out swinging, catcher Ben Rortvedt to first baseman Freddie Freeman.",R,R,L,AZ,LAD,S,,,0,0,2025,0.26,1.47,-0.52,2.22,,,,2,5,Bot,,,,,,,-6.78892237,-136.8416121,-8.758280155,4.762515151799034,29.873600228032654,-11.98247596,3.55,1.69,,,,95.2,2401,6.9,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.59,,,,,,,,42,1,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,158,0,-0.044,,,,0.044,,-2,-2,0.225,0.225,32,25,33,26,3,2,,,,,1.11,0.26,-0.26,,,,,,
FF,2025/9/24,95.7,1.97,6.57,"Snell, Blake",606466,605483,field_out,hit_into_play,,,,,6,"Ketel Marte grounds out, shortstop Mookie Betts to first baseman Freddie Freeman.",R,R,L,AZ,LAD,X,6,ground_ball,3,2,2025,0.34,1.49,0.58,2.7,,,,1,5,Bot,111.33,152.9,,,,,-4.457580495,-139.102386,-7.987225015,5.393906836002322,32.046012203886114,-11.2646869,3.63,1.73,15,106.7,-9,96.5,2408,6.9,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.63,0.317,0.305,0,1,0,0,2,41,7,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,160,-0.021,-0.333,79.4,7.9,0.321,0.333,106.7,-2,-2,0.246,0.246,32,31,33,32,3,2,,,,,1.01,0.34,-0.34,,0.8840827312852431,6.815673517782815,27.52238579212824,40.249341198340126,27.841526581549708
FF,2025/9/24,95.5,1.95,6.47,"Snell, Blake",606466,605483,,foul,,,,,8,"Ketel Marte grounds out, shortstop Mookie Betts to first baseman Freddie Freeman.",R,R,L,AZ,LAD,S,,,3,2,2025,0.38,1.61,0.02,1.61,,,,1,5,Bot,,,,,,,-5.996429264,-138.6581564,-10.91110333,6.135458393631804,29.392531037975093,-9.151999202,3.63,1.73,1,86,-48,96.8,2475,7,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.46,,,,,,,,41,6,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,153,0,0,77.6,7.6,,0,88,-2,-2,0.246,0.246,32,31,33,32,3,2,,,,,0.89,0.38,-0.38,,-9.685015055,9.821949192,40.00918644259084,33.49328989210229,24.620055179177008
CH,2025/9/24,85.7,2.07,6.4,"Snell, Blake",606466,605483,,swinging_strike,,,,,8,"Ketel Marte grounds out, shortstop Mookie Betts to first baseman Freddie Freeman.",R,R,L,AZ,LAD,S,,,3,1,2025,1.12,0.75,0.08,1.73,,,,1,5,Bot,,,,,,,-7.04392036,-124.5808156,-6.399624993,13.005839670696009,23.949171615356857,-23.22091983,3.63,1.73,,,,86.9,1712,7,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.47,,,,,,,,41,5,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,134,0,-0.089,81.2,9.3,,0.089,,-2,-2,0.246,0.246,32,31,33,32,3,2,,,,,2.34,1.12,-1.12,,18.570854658143322,-33.17276467,31.050906395536387,33.16719734787379,53.851166505118485
SL,2025/9/24,87.9,1.85,6.48,"Snell, Blake",606466,605483,,ball,,,,,14,"Ketel Marte grounds out, shortstop Mookie Betts to first baseman Freddie Freeman.",R,R,L,AZ,LAD,B,,,2,1,2025,-0.19,0.87,0.04,0.06,,,,1,5,Bot,,,,,,,-4.024511666,-127.6148379,-11.35245035,-1.257322361,25.227621652088068,-20.56476704,3.63,1.73,,,,88.9,2324,7,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.55,,,,,,,,41,4,Slider,1,3,1,3,3,1,1,3,Standard,Standard,170,0,0.121,,,,-0.121,,-2,-2,0.246,0.246,32,31,33,32,3,2,,,,,2.08,-0.19,0.19,,,,,,
FF,2025/9/24,95.1,1.93,6.57,"Snell, Blake",606466,605483,,ball,,,,,12,"Ketel Marte grounds out, shortstop Mookie Betts to first baseman Freddie Freeman.",R,R,L,AZ,LAD,B,,,1,1,2025,0.35,1.69,1.1,3.83,,,,1,5,Bot,,,,,,,-3.002510043,-138.392114,-5.386649807,5.1983456406077995,30.719449280101895,-9.395567015,3.63,1.73,,,,96.1,2468,6.8,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.68,,,,,,,,41,3,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,159,0,0.056,,,,-0.056,,-2,-2,0.246,0.246,32,31,33,32,3,2,,,,,0.82,0.35,-0.35,,,,,,
